"Datum";"kWh";"kW";"Status";
"04.01.2024 22:30";0,12;0,48;"VALID";
"04.01.2024 22:45";0,122;0,488;"VALID";
"04.01.2024 23:00";0,119;0,476;"VALID";
"04.01.2024 23:15";0,078;0,312;"VALID";
"04.01.2024 23:30";0,073;0,292;"VALID";
"04.01.2024 23:45";0,095;0,38;"VALID";
"05.01.2024 00:00";0,079;0,316;"VALID";
"05.01.2024 00:15";0,075;0,3;"VALID";
"05.01.2024 00:30";0,087;0,348;"VALID";
"05.01.2024 00:45";0,085;0,34;"VALID";
"05.01.2024 01:00";0,074;0,296;"VALID";
"05.01.2024 01:15";0,072;0,288;"VALID";
"05.01.2024 01:30";0,078;0,312;"VALID";
"05.01.2024 01:45";0,086;0,344;"VALID";
"05.01.2024 02:00";0,076;0,304;"VALID";
"05.01.2024 02:15";0,067;0,268;"VALID";
"05.01.2024 02:30";0,076;0,304;"VALID";
"05.01.2024 02:45";0,076;0,304;"VALID";
"05.01.2024 03:00";0,074;0,296;"VALID";
"05.01.2024 03:15";0,067;0,268;"VALID";
"05.01.2024 03:30";0,074;0,296;"VALID";
"05.01.2024 03:45";0,075;0,3;"VALID";
"05.01.2024 04:00";0,076;0,304;"VALID";
"05.01.2024 04:15";0,067;0,268;"VALID";
"05.01.2024 04:30";0,073;0,292;"VALID";
"05.01.2024 04:45";0,075;0,3;"VALID";
"05.01.2024 05:00";0,076;0,304;"VALID";
"05.01.2024 05:15";0,079;0,316;"VALID";
"05.01.2024 05:30";0,075;0,3;"VALID";
"05.01.2024 05:45";0,076;0,304;"VALID";
"05.01.2024 06:00";0,075;0,3;"VALID";
"05.01.2024 06:15";0,071;0,284;"VALID";
"05.01.2024 06:30";0,069;0,276;"VALID";
"05.01.2024 06:45";0,076;0,304;"VALID";
"05.01.2024 07:00";0,074;0,296;"VALID";
"05.01.2024 07:15";0,071;0,284;"VALID";
"05.01.2024 07:30";0,068;0,272;"VALID";
"05.01.2024 07:45";0,139;0,556;"VALID";
"05.01.2024 08:00";0,139;0,556;"VALID";
"05.01.2024 08:15";0,13;0,52;"VALID";
"05.01.2024 08:30";0,121;0,484;"VALID";
"05.01.2024 08:45";0,128;0,512;"VALID";
"05.01.2024 09:00";0,128;0,512;"VALID";
"05.01.2024 09:15";0,128;0,512;"VALID";
"05.01.2024 09:30";0,12;0,48;"VALID";
"05.01.2024 09:45";0,127;0,508;"VALID";
"05.01.2024 10:00";0,128;0,512;"VALID";
"05.01.2024 10:15";0,126;0,504;"VALID";
"05.01.2024 10:30";0,122;0,488;"VALID";
"05.01.2024 10:45";0,125;0,5;"VALID";
"05.01.2024 11:00";0,117;0,468;"VALID";
"05.01.2024 11:15";0,104;0,416;"VALID";
"05.01.2024 11:30";0,1;0,4;"VALID";
"05.01.2024 11:45";0,105;0,42;"VALID";
"05.01.2024 12:00";0,109;0,436;"VALID";
"05.01.2024 12:15";0,106;0,424;"VALID";
"05.01.2024 12:30";0,111;0,444;"VALID";
"05.01.2024 12:45";0,111;0,444;"VALID";
"05.01.2024 13:00";0,087;0,348;"VALID";
"05.01.2024 13:15";0,098;0,392;"VALID";
"05.01.2024 13:30";0,094;0,376;"VALID";
"05.01.2024 13:45";0,089;0,356;"VALID";
"05.01.2024 14:00";0,072;0,288;"VALID";
"05.01.2024 14:15";0,071;0,284;"VALID";
"05.01.2024 14:30";0,06;0,24;"VALID";
"05.01.2024 14:45";0,062;0,248;"VALID";
"05.01.2024 15:00";0,065;0,26;"VALID";
"05.01.2024 15:15";0,064;0,256;"VALID";
"05.01.2024 15:30";0,113;0,452;"VALID";
"05.01.2024 15:45";0,109;0,436;"VALID";
"05.01.2024 16:00";0,114;0,456;"VALID";
"05.01.2024 16:15";0,127;0,508;"VALID";
"05.01.2024 16:30";0,062;0,248;"VALID";
"05.01.2024 16:45";0,06;0,24;"VALID";
"05.01.2024 17:00";0,069;0,276;"VALID";
"05.01.2024 17:15";0,242;0,968;"VALID";
"05.01.2024 17:30";0,091;0,364;"VALID";
"05.01.2024 17:45";0,093;0,372;"VALID";
"05.01.2024 18:00";0,097;0,388;"VALID";
"05.01.2024 18:15";0,096;0,384;"VALID";
"05.01.2024 18:30";0,063;0,252;"VALID";
"05.01.2024 18:45";0,092;0,368;"VALID";
